Film;Tytuł filmu;Data i godzina publikacji filmu;Wyświetlenia;Czas oglądania (w godzinach);Subskrypcje;Wyświetlenia miniatur;Współczynnik klikalności wyświetlonych miniatur (%)
hJ5FV_fkk8I;Excel - wyszukaj.pionowo - 1 na końcu;Dec 5, 2017;65;2.1757;5;766;mar.92
0HioN85LkOo;Vlog #032 - Odpoczynek? To znaczy co?;Sep 7, 2019;64;maj.73;1;1552;lut.77
1TXS1Ly1Zvg;#127 Czy warto podsumowywać swoje działania?;Jun 2, 2020;64;maj.86;0;1763;lut.27
FtsJCLJDYuU;#125 Czy sprzedaż może się przydać w procesie rekrutacyjnym? - Vlog;May 28, 2020;64;mar.84;0;1616;lut.17
fxTuI9ObSUA;Vlog #044 - Pierwsza rekrutacja w mojej firmie;Oct 14, 2019;64;5.117;0;1197;mar.43
kOFvVwN9Xho;Vlog #053 - Delegowanie, czyli jak to zrobić;Nov 14, 2019;64;kwi.52;0;1455;sty.86
6IQAbLT9EX4;Vlog #059 - Grupa, która Cię wesprze;Dec 8, 2019;63;kwi.58;1;1275;sty.73
9AkFLyCyEJU;#124 Czy porażka to część życia? - Vlog;May 27, 2020;61;kwi.05;0;1441;lut.78
JvsfmDDEN18;Podcast #08 - Praca na stanowisku indywidualnym;Aug 27, 2019;61;lip.66;0;2484;sty.77
Kzrrlbh0FtQ;Podcast #010 - Social media a produktywność;Sep 10, 2019;61;pa�.17;1;1927;lut.23
Vq1AGc1RpTU;Podcast #038 - Czy warto być etycznym?;Mar 24, 2020;61;mar.38;-1;1952;sty.23
b8EqSE86tHc;#140 Czym jest bycie przedsiębiorcą? - Vlog;Jul 4, 2020;61;6.0904;1;1672;lut.15
eRYaJ4G0sBk;Vlog #071 - Najlepsze narzędzie diagnozujące siebie;Jan 15, 2020;60;kwi.11;-2;1480;lut.57
3pgkD0dCWhg;Vlog #030 - Kto jest Twoim wzorem?;Sep 2, 2019;59;lip.07;0;1512;lut.38
AN7HAw-nvxk;Vlog #061 - Ta postawa czyni cuda;Dec 15, 2019;59;4.0452;0;1251;02.sie
m0GlTEanHKQ;Podcast #012 - Czy trzeba piąć się po drabinie kariery?;Sep 24, 2019;59;maj.92;0;2269;sty.81
zClAwhUckmM;Vlog #046 - Jak mieć więcej czasu w życiu;Oct 22, 2019;59;kwi.36;1;1399;lut.64
zHUjQSsyydU;Vlog #045 - Jak sprzedawać, żeby kupowali;Oct 18, 2019;59;5.288;0;1377;lut.76
4EwkkgxwPFw;Vlog #090 - Nauka z konferencji biznesowej?;Mar 7, 2020;58;kwi.71;0;1474;lut.31
CRoYx1XbNnE;Vlog #072 - Urlop - co to w ogóle znaczy;Jan 17, 2020;58;mar.32;0;1929;sty.92
c61R8H64vTM;Vlog #028 - Spanie, żywienie, ruch a produktywność;Aug 28, 2019;58;kwi.43;0;1510;lut.98
7Df3oPW-iLQ;Vlog #052 - Jedni lubią ryby, inni samochody;Nov 11, 2019;56;mar.71;0;1486;lut.29
k306LAd59rk;Vlog #076 - Szczpyta ryzyka odmienia życia;Jan 30, 2020;55;4.1446;0;1464;sty.64
enUlMyeBoqM;Excel - funkcja logiczna jeżeli;Dec 7, 2017;54;lut.71;1;895;03.sie
1cR7JaTG_OU;#118 Czy liczba lajków pokazuje, czy jesteśmy fajni? - Vlog;May 12, 2020;53;4.1474;0;1738;sty.61
Ukwn6cT92Lo;Vlog #070 - Nastawienie przedsiębiorcy;Jan 12, 2020;53;kwi.96;0;1568;sty.91
8rctW_st3ls;Vlog #025 - Dzięki tej rzeczy zdobywa szczyty;Aug 21, 2019;51;mar.08;0;1475;sty.76
JU9haPJ0FLk;Vlog #089 - Mały Wielki wypad do Warszawy;Mar 4, 2020;51;mar.01;0;1338;lut.32
FCxwNQePcck;Excel - formuły tekstowe, czyli podstaw, dł i inne;Dec 10, 2017;50;sty.39;0;988;lut.73
Pumh3Anrur4;Vlog #054 - Małe kroki kluczem do efektów;Nov 19, 2019;50;3.0312;0;1456;02.kwi
BojqamgcUKc;Vlog #042 -  Czy można działać bez sprzętu?;Oct 9, 2019;49;mar.42;0;1267;lut.84
P8X09Du9WfU;Vlog #050 - Podsumowanie po 50 odcinkach;Nov 6, 2019;48;kwi.16;0;1293;02.sty
Pw-ZGxTX_XU;Vlog #060 - Jedno słowo, które zmienia wszystko;Dec 13, 2019;47;4.1079;0;1234;lut.76
Dsvxtukoejs;Vlog #055 - Jeszcze jeden dzień z życia prelegenta;Nov 21, 2019;46;lut.92;-1;1368;sty.97
NGwOOCXHVzE;Vlog #058 - Spróbuj, zanim się zdecydujesz;Dec 5, 2019;46;kwi.17;0;1217;02.mar
gT4PE7UR99I;#115 Jak nie zatracić się w pracy? - Vlog;May 5, 2020;46;4.1085;1;1227;lut.53
S8vUy0_We34;Vlog #084 - Plany kontra rzeczywistość;Feb 19, 2020;45;mar.99;0;1467;sty.98
9eFVi-qKz5M;Vlog #048 - Dzień z życia prelegenta;Oct 30, 2019;44;maj.73;0;1423;sty.76
cf_yJALX3lY;Vlog #056 - Oczekiwania zabijają radość;Nov 29, 2019;44;4.0501;0;1221;sty.88
hoHxwTzEEEU;Vlog #063 - To będzie Twoje główne zmartwienie;Dec 21, 2019;44;3.694;-1;1301;lut.23
q3mHXUBfVdY;Vlog #065 - Urlop znaczy co;Dec 29, 2019;42;4.503;0;1479;sty.96
yNmJJESKPfk;Vlog #047 - Niezwyczajny dzień przedsiębiorcy online;Oct 24, 2019;39;3.0801;0;1407;sty.78
ou74yKpBIy0;Vlog #043 -  Co ten podcast?;Oct 11, 2019;38;lut.18;1;1534;sty.63
ZLRiXzGmzm8;Vlog #051 - Przygody prelegenta;Nov 8, 2019;33;lut.23;0;1270;sty.81
LpyL10tX9Ws;Vlog #040 - Międzynarodowy Dzień Podcastów;Sep 30, 2019;32;2.1656;0;1194;sty.84
mCQRKll81zc;Poznaj narzędzia Power Excela w godzinę!;Jan 1, 1970;0;0;6;0;
